title,abstract,section
New Law Will Let Consumers ‘Freeze’ Credit Files Without Charge,Credit experts often recommend a freeze as a way to protect personal information from fraud and identity theft.,Your Money
Trump Defends Administration’s Trade Strategy With China,"The president praised his approach, and criticized Democrats, in a series of tweets on Monday following a three-day negotiation session that ended with little clarity.",Business Day
"In China, Photo of Trade Talks Embodies ‘Young’ Country Passing Aging U.S.",Social media users noticed a distinct age gap between the Chinese delegates and the American lawmakers who met them in Washington.,Business Day
"‘Diamonds Are Forever,’ and Made by Machine",De Beers is getting into the lab-created diamond business with a new line of fashion jewelry and an aggressive pricing strategy.,Business Day
E.U. Settles With Russia’s Gazprom Over Antitrust Charges,The settlement could mark the end of a long legal tangle. But countries that have long been squeezed by the energy company complained that it should have been fined.,Business Day
China Cuts Tariffs Ahead of U.S. Commerce Secretary’s Visit to Beijing,"The decision will lower trade barriers on an eclectic range of imports, but on few American goods.",Business Day
Samantha Bee Apologizes for Slur Against Ivanka Trump,"In the wake of ABC’s cancellation of “Roseanne,” the TBS late-night host hurls a vulgar insult, setting off debate on social media.",Business Day
Who Wants to Do Business in North Korea?,"It’s the ultimate long-shot, but a few companies and investors are preparing for a time when East Asia’s last growth market opens up to outsiders.",Business Day
Who Wants to Do Business in North Korea?,"It’s the ultimate long-shot, but a few companies and investors are preparing for a time when East Asia’s last growth market opens up to outsiders.",Business Day
U.S.-China Trade Talks End in an Impasse,Chinese officials refused to commit to buying more American goods without a Trump administration agreement not to impose further tariffs on Chinese exports.,Business Day
White House Moves Ahead With Tough Trade Measures on China,"The Trump administration said tariffs, investment restrictions and other measures would be announced in the coming weeks, ramping up pressure on China to make concessions in trade talks.",Business Day
"Bankers Hate the Volcker Rule. Now, It Could Be Watered Down.","Softening the rule, which prohibits banks from making speculative but profitable wagers, is part of the White House’s deregulatory push.",Business Day
Cambridge Analytica’s Parent Company Helped Shape Saudi Arabia’s Reform Movement,"The government of Saudi Arabia, trying to diversify its economy and open up its society, called in the SCL Group, a secretive consulting firm, to help plot the kingdom’s reform plans.",Business Day
Larry Kudlow Suffers ‘Very Mild’ Heart Attack,"President Trump’s top economic adviser is at Walter Reed Medical Center and is expected to fully recover, the White House said.",Business Day
Larry Kudlow Suffers ‘Very Mild’ Heart Attack,"President Trump’s top economic adviser is at Walter Reed Medical Center and is expected to fully recover, the White House said.",Business Day
Low-Paid Women Get Hollywood Money to File Harassment Suits,"A case against Walmart is among the first to arise from the Time’s Up Legal Defense Fund, meant to broaden #MeToo beyond celebrities.",Business Day
"Massachusetts Gains Foothold in Offshore Wind Power, Long Ignored in U.S.","The wind farms have increasingly become mainstream sources of power in Northern Europe, but the United States has largely not pursued the technology.",Business Day
Want to Make Money Like a C.E.O.? Work for 275 Years,"For the first time, companies in the U.S. are disclosing how their C.E.O.’s compensation compares with the pay of employees. The results are eye-opening.",Business Day
"China Cuts Car Tariffs, in a Small Offering to U.S. on Trade","The moves are likely to change little for the auto industry, though Chinese factories and German firms could benefit from slashing tariffs on parts.",Business Day
Six C.E.O. Pay Packages That Explain Soaring Executive Compensation,"One chief executive made $102.2 million last year. Another earned 4,987 times her median employee’s pay. This was C.E.O. pay in 2017.",Business Day
"In Vancouver, a Housing Frenzy That Even Owners Want to End","Facing a crisis of affordability, officials are trying to reduce real estate demand through a package of tax measures, some aimed at foreign buyers.",Business Day
An Artless Negotiation From the President Who Penned ‘The Art of the Deal’,"President Trump’s negotiating playbook is by now pretty obvious: Make big demands, thump your chest and claim victory. But some of his talk on China has a whiff of desperation.",Business Day
"Ivanka Trump and Jared Kushner Benefited From Busy 2017 in Investing, Filing Shows","Nearly 80 transactions totaled $147 million, financial disclosures showed. Ethics experts have said the activity could raise questions of possible conflicts of interest.",Business Day
"Ivanka Trump and Jared Kushner Benefited From Busy 2017 in Investing, Filing Shows","Nearly 80 transactions totaled $147 million, financial disclosures showed. Ethics experts have said the activity could raise questions of possible conflicts of interest.",Business Day
Supreme Court Upholds Workplace Arbitration Contracts Barring Class Actions,"The vote was 5 to 4, with the court’s more conservative justices in the majority. The court’s decision could affect some 25 million employment contracts.",Business Day
‘Mustang Means Freedom’: Why Ford Is Saving an American Icon,"Ford is phasing out its passenger cars, except one: the Mustang. The car may be only modestly profitable for Ford, but it has deep emotional power.",Business Day
Free Cash to Fight Income Inequality? California City Is First in U.S. to Try,"Long plagued by poverty and desperation, Stockton, Calif., is testing universal basic income as a means of improving the lives of its residents.",Business Day
Roseanne Barr Starts Storm With Racist Twitter Post About Ex-Obama Adviser,"Ms. Barr cited “The Planet of the Apes” in discussing Valerie Jarrett, a black woman and former adviser to President Barack Obama. She then deleted the post, apologized and said she would quit Twitter.",Business Day
How Marc Jacobs Fell Out of Fashion,"In recent years, Mr. Jacobs has left Louis Vuitton, shrunk his own business, shut dozens of stores and lost his longtime business partner. And what’s happening with that I.P.O.?",Business Day
"Why Starbucks’s Bias Training, Despite Skepticism, Is an Important Start","Starbucks is under fire for temporarily shutting 8,000 stores on Tuesday to train employees about bias. The effort won’t solve the problem, but it’s a good start.",Business Day
Trump’s Charm and Threats May Not Be Working on China. Here’s Why.,"President Trump threatened tariffs on $150 billion in goods, then tried conciliation. Beijing’s response either way: Rebuff the offers and avoid specific pledges.",Business Day
Andy Warhol’s Interview Magazine Shuts Down,"The publication is filing for bankruptcy, according to an associate editor at the magazine.",Business Day
‘Womp Womp’: Corey Lewandowski Mocks Child With Down Syndrome Separated From Mother,"Mr. Lewandowski’s comment on Fox News was widely criticized. Megyn Kelly, the former Fox host, called him a coward.",Business Day
Trump’s Ace in the Hole in Trade War: A Strong Economy,Accelerating growth has given the administration more leverage over trading partners. But economists warn of potential headwinds beyond this year.,Business Day
Walmart ‘Surprised’ Old Store Is a Migrant Shelter. Records Hinted at the Possibility.,An executive at the giant retailer signed a document that indicated the property was being purchased with a loan from a large shelter operator.,Business Day
How Smarter Living Taught Me to Be an Adult,"Four things I’ve learned that can help you, too.",Times Insider
How Smarter Living Taught Me to Be an Adult,"Four things I’ve learned that can help you, too.",Times Insider
"8 Cheap, Landlord-Friendly Ways to Upgrade Your Rental","Here are some affordable, luxurious upgrades for your rental that won’t make your landlord mad and are easy to undo when it’s time to move.",Smarter Living
Why Office Friendships Can Feel So Awkward,How to navigate the inherent awkwardness of workplace friendships.,Smarter Living
Why Office Friendships Can Feel So Awkward,How to navigate the inherent awkwardness of workplace friendships.,Smarter Living
Why Office Friendships Can Feel So Awkward,How to navigate the inherent awkwardness of workplace friendships.,Smarter Living
How to Deal with Overly Chatty Group Texts,"That group text with your family has your phone buzzing all day while you’re trying to work, or all night while you’re trying to relax. Here’s how to get some peace.",Smarter Living
How to Clean Your Gross Workout Gear,"Sun’s out, guns out — just wash your tank after hitting the gym.",Smarter Living
The Case for Having a Hobby,"Hobbies can help remind you that work isn’t everything. Life isn’t just for productivity, and doing something for fun can be its own reward.",Smarter Living
A Beginner’s Guide to Backing Up Photos,"Whether they’re digital photos on your smartphone or old negatives in your attic, here’s how to get started tackling your photo clutter.",Smarter Living
A Beginner’s Guide to Backing Up Photos,"Whether they’re digital photos on your smartphone or old negatives in your attic, here’s how to get started tackling your photo clutter.",Smarter Living
5 Cheap(ish) Things to Take on Your Summer Camping Trip,The gear you’ll need to survive in the wilderness. (Or your backyard.),Smarter Living
Struggle With Self-Control? Take Yourself Out of the Equation,"Instead of trying to will yourself to resist temptations, simply remove them.",Smarter Living
Struggle With Self-Control? Take Yourself Out of the Equation,"Instead of trying to will yourself to resist temptations, simply remove them.",Smarter Living
Dealing With Impostor Syndrome When You’re Treated as an Impostor,"Impostor syndrome is not a unique feeling, but some researchers believe it hits minority groups harder.",Smarter Living
Dealing With Impostor Syndrome When You’re Treated as an Impostor,"Impostor syndrome is not a unique feeling, but some researchers believe it hits minority groups harder.",Smarter Living
Why You Should Stop Being So Hard on Yourself,Self-criticism can take a toll on our minds and bodies. It’s time to ease up.,Smarter Living
Turning a Breakup Into a Positive Experience,"As you reflect on your newfound singledom, here are a few things to keep in mind.",Smarter Living
5 Cheap(ish) Things for Bike Commuting Bliss,Your stuff doesn’t need to be fancy but it does need to work well. These are our favorite picks.,Smarter Living
How to Plan the Perfect Trip With Your Significant Other This Summer,Make sure your bae-cation is one to remember — without the logistical headaches.,Smarter Living
Dealing With Impostor Syndrome When You’re Treated as an Impostor,"Impostor syndrome is not a unique feeling, but some researchers believe it hits minority groups harder.",Smarter Living
Nicolas Ghesquière Still Has Something He Wants to Say at Louis Vuitton,And he said a lot of it at the brand’s cruise show in the south of France.,Fashion & Style
"Ryan Seacrest Is Just One Man, He Can Only Do So Much in This Life",“I’m only working to eat well and drink wine.”,Fashion & Style
"Ryan Seacrest Is Just One Man, He Can Only Do So Much in This Life",“I’m only working to eat well and drink wine.”,Fashion & Style
Fashion’s Woman Problem,Why is it that an industry aimed at women and buoyed by female dollars is still run mostly by men? A new study tries to find out.,Fashion & Style
The Language of Letting Go,Solving crossword puzzles helps a mother bond with her adult child in a new way.,Crosswords & Games
